ID,Type,Utterance,Dialog_Act,translated_Utterance
163_35,P,Yes.,ack,بله، بله.
163_36,T,You have any ideas as to what may what may be what may be making this test such a point of anxiety for you?,gc,آیا ایده ای دارید که چه چیزی ممکن است باعث شود این آزمایش برای شما باعث اضطراب شود؟
163_37,P,"I think it's just the fact that it's this promotion. So it's like the same thing. Like, if I fail, I'm being held back. And I feel like it's, we live in that moment of being held back. And that, that that's like a fear that I have that, um, that by not being able to pass these tests are holding me back.",gc,من فکر می کنم این فقط این واقعیت است که این ترفیع است. پس این مثل همان چیز است. مثل، اگر من شکست بخورم، من عقب نشینی می کنم. و من احساس می کنم که این است، ما در آن لحظه عقب نشینی زندگی می کنیم. و این، که این مثل ترس است که من دارم که، امم، که با نتوانستن از این تست ها عبور کنم، من را عقب می اندازند.
163_38,T,So it really that same feeling you've had in third grade. That's coming up with this test.,irq,پس واقعاً همان احساسی است که در کلاس سوم داشتید. این با این تست به وجود می آید.
163_39,P,"Yeah, I mean, I didn't put them together until now. But yeah.",id,آره، منظورم اينه که تا الان اونا رو با هم قرار نداده بودم، اما آره.
163_40,T,"And the other test you take in throughout the rest of grade school in high school they didn't, they didn't have that same value attached to them.",gc,و آزمون دیگری که در طول بقیه سال های ابتدایی در دبیرستان انجام می دهید، آنها آن را انجام ندادند، آنها همان ارزش را به آنها اختصاص ندادند.
163_41,P,"Now because they didn't have all that pressure that it was either win win or lose, basically, ",gc,حالا چون اونها اون فشار رو نداشتند که يا برنده ميشد يا بازي ميکرد، اساساً،
163_42,T,"you could, you could take them again or take the course again or?",irq,می توانی دوباره آن ها را بخوانی یا دوباره دوره را بخوانی یا؟
163_43,P,or I could take another test to raise the grade if I didn't do good on that.,id,یا می تونستم یه تست دیگه بگیرم تا نمره ام رو بالا ببرم اگه در اون خوب نبودم
163_44,T,so you have you maybe had more options in school?,ynq,پس شاید در مدرسه گزینه های بیشتری داشته باشی؟
163_45,P,"Yes. Was it fail, you know, pass or fail?",yna,بله. شکست خورد، می دانید، قبول شد یا شکست خورد؟
163_46,T,"Right, So it's the, it's the pressure is the pressure of you need to get through this. And you don't have the safety nets that you had in school? ",gc,درسته، پس این فشار است، این فشار است که شما باید از این عبور کنید. و شما شبکه های ایمنی که در مدرسه داشتید ندارید؟
163_47,P,"Yeah, if I fail it, then I'm not going to be able to get the promotion, I would have to wait. Just like I did not have to wait a certain amount of time. I think an ear before I could take it again.",yna,بله، اگر شکست بخورم، پس نمی توانم ترفیع بگیرم، باید صبر کنم. درست مثل اینکه مجبور نبودم یک مدت زمان مشخصی صبر کنم. فکر می کنم یک گوش قبل از اینکه بتوانم دوباره آن را بگیرم.
163_48,T,So this a lot of pressure.,irq,پس این فشار زیادی است.
163_49,P,Yeah it is,id,آره هست
163_50,T,So is there any time limit to this test for work?,irq,پس هیچ محدودیت زمانی برای این تست برای کار وجود دارد؟
163_51,P,"Um, no, there isn't.",id,امم، نه، وجود نداره.
163_52,T,There's no time.,irq,وقت نداریم.
163_53,P,No,id,نه، نه
163_54,T,"How many Is it like a, like a multiple choice? ",irq,چند تا مثل، مثل یک انتخاب چندگانه است؟
163_55,P,"Yes, it is. ",id,بله، هست.
163_56,T,"Okay. And you seem like, like you said, you said the night before with your friend. ",gc,باشه، و به نظر مياد، همونطور که گفتي، شب قبل با دوستت گفتي.
163_57,P,Yeah.,ack,آره، آره
163_58,T,You're really well prepared for it.,gc,تو واقعاً براي اين کار خوب آماده هستي
163_59,P,Yes.,gc,بله، بله.
163_60,T,"So I have a few a few thoughts about this. One is I'm wondering you know, we've talked before about cognitive therapy core beliefs. So I'm curious as to what you think about what core beliefs may be operating. For you now with this with this test, this work test",gc,بنابراین من چند تا فکر در مورد این دارم. یکی از آن ها این است که من می خواهم بدانم شما می دانید، ما قبلا در مورد باورهای اصلی درمان شناختی صحبت کرده ایم. بنابراین من کنجکاو هستم که شما چه فکر می کنید در مورد باورهای اصلی ممکن است عمل کند. برای شما در حال حاضر با این با این تست، این تست کار
163_61,P,"that  I could fail that if I fail I could end up being a failure at all, you know, the things that I try",gc,که می توانم شکست بخورم، که اگر شکست بخورم، می توانم در نهایت یک شکست گیر باشم، می دانید، چیزهایی که من سعی می کنم
163_62,T,"something like, I am a failure or I'm bound to be a failure, I'm destined to be a failure. ",irq,چیزی مثل، من یک شکست خورده ام یا مجبورم یک شکست خورده باشم، من برای شکست خورده بودن تعیین شده ام.
163_63,P,I would say like I'm destined to be.,id,ميگم انگار که براي من مقدر شده
163_64,T,"Okay, so  destined to be failure. So that, so that, potentially, is a core belief. Right? That's, that's operating.",gc,خوب، پس مقدر شده که شکست بخوره. پس این، پس این، به طور بالقوه، یک باور اصلی است. درسته؟ این، این عملیاتی است.
163_65,P,"I mean, that's what scares me. That's, that's exactly the thought that I'm thinking when I'm about to take the test. And if I don't pass that, it's just gonna have like this domino effect of failure.",gc,منظورم این است که این چیزی است که من را می ترساند. این دقیقا همان فکری است که من در حال انجام آزمون هستم. و اگر من آن را رد نکنم، این فقط یک اثر دومینو از شکست خواهد داشت.
163_66,T,"Okay, so it could be a core belief, but it's also seems like you're still on that thought. Like as you get ready to take that test. You're thinking I'm just destined to be a failure. ",gc,خوب، پس این می تواند یک اعتقاد اصلی باشد، اما همچنین به نظر می رسد که شما هنوز در آن فکر هستید. مانند اینکه شما برای انجام آن تست آماده می شوید. شما فکر می کنید که من فقط برای شکست خوردن تعیین شده ام.
163_67,P,Yeah.,ack,آره، آره
163_68,T,And you're having what sounds like a panic response to heart racing.,irq,و شما چیزی دارید که به نظر می رسد یک واکنش وحشتناک به ضربان قلب است.
163_69,P,"Yeah, my hands shaking. ",id,آره، دستام داره مي لرزه.
163_70,T,Are you in the room alone? You're taking the test?,ynq,تو تنهايي تو اتاق هستي؟ داري آزمايش ميکني؟
163_71,P,"Yes, ",yna,بله، بله
163_72,T,you are. So no one's really seeing you have this. I wouldn't want to call it a panic attack yet we haven't really gotten too far into it. But it sounds like it has some panic like features.,gc,شما هستید. پس هیچکس واقعا نمی بیند که شما این را دارید. من نمی خواهم آن را یک حمله وحشتناک بنامم. ما هنوز به طور واقعی به آن نرسیده ایم. اما به نظر می رسد که برخی از ویژگی های وحشت مانند آن دارد.
163_73,P,Yeah.,gc,آره، آره
163_74,T,"Because it's not. It's interfering with you thinking clearly enough to get to the items. So, okay. So one thought I have is you have you ever had panic attacks in the past or anything like this?, the third grade thing?",gc,چون این کار نمی کند.این کار مانع از تفکر به اندازه کافی واضح برای رسیدن به آیتم ها می شود.پس، باشه.پس یک فکر که من دارم این است که آیا شما در گذشته حمله های وحشت یا چیزی شبیه به این داشته اید؟، چیز کلاس سوم؟
163_75,P,"No, not really. I mean, sometimes I get worked out when I'm about to take a test, okay, but it's only around test.",id,نه، واقعا نه. منظورم اینه که، گاهی اوقات وقتی میخوام یه تست بدم، خسته میشم، باشه، ولی فقط در اطراف تست.
163_76,T,And what happens once you get worked up like once your heart rate increases and You have any other physiological symptoms would,irq,و چه اتفاقی می افتد وقتی که شما کار می کنید، مانند زمانی که ضربان قلب شما افزایش می یابد و شما هر گونه علائم فیزیولوژیکی دیگری دارید
163_77,P,want to actually do take the test?,irq,واقعاً ميخواي آزمايش رو بگيري؟
163_78,T,hmmm,id,همممم
163_79,P,"Um, I kind of try to work through it and start trying to answer one question at a time to get to the last question.",id,من سعی می کنم از طریق آن کار کنم و شروع به پاسخ دادن به یک سوال در یک زمان کنم تا به سوال آخر برسم.
163_80,T,"So one one possible strategy here is we talked about the adaptive response. Right? So, which is that thought that you say to yourself that self talk, I wonder if your doctor response couldn't be I can ride this out like you have no time to test? ",gc,یکی از استراتژی های احتمالی در اینجا این است که ما در مورد پاسخ انطباقی صحبت کردیم.درسته؟ پس، این فکر است که شما به خودتان می گویید که صحبت با خود، من تعجب می کنم اگر پاسخ دکتر شما نمی تواند من می توانم این را سوار کنم مانند شما وقت برای آزمایش ندارید؟
163_81,P,"Yeah, that's true. ",id,آره، درسته.
163_82,T,"I mean, the panic responses only maintained for so long",gc,منظورم این است که واکنش های وحشتناک فقط برای مدت زمان طولانی حفظ می شود.
163_83,P,and I could also choose like maybe questions that are no the answer to automatically so that could help maybe release some of that stress,gc,"و همچنین می توانم سوالاتی را انتخاب کنم که به طور خودکار جواب ""نه"" را دارند تا ممکن است به کاهش استرس کمک کند."
163_84,T,"to get some in a sense to get some minor victories under your belt by like, answering those right you know, you're closer to achieving your goal",gc,به معنای کسب برخی از پیروزی های کوچک در کمربند خود، با پاسخ دادن به آن ها، شما به دستیابی به هدف خود نزدیک تر هستید.
163_85,P,"yes and then I feel like I know, at least I know that like, Don't validate the feeling that I maybe I can pass this test.",gc,بله و بعد احساس می کنم که می دانم، حداقل می دانم که، این احساس را تایید نکن که شاید بتوانم از این آزمون عبور کنم.
163_86,T,"So the more items you you answer correctly, the less anxious you're gonna feel because you're closer to the end of.",irq,بنابراین هر چه بیشتر به سوالات به درستی پاسخ دهید، کمتر احساس اضطراب خواهید کرد زیرا به پایان آن نزدیک تر هستید.
163_87,P,"Yeah, definitely. Because then I start to feel more calm because I know that I know these questions are definitely going to be right.",id,بله، قطعا. چون بعد شروع می کنم به احساس آرامش بیشتر، چون می دانم که می دانم این سوالات قطعا درست خواهند بود.
163_88,T,"So that's so that's one well, that's a cognitive and behavioral strategy, right? Like you can you can wait out the panic. I mean, you're in the room alone.",gc,این یک استراتژی شناختی و رفتاری است، درست است؟ مانند اینکه می توانید منتظر باشید تا وحشت از بین برود.
163_89,P,"Yeah, that's true. Nobody's there. Nobody's gonna see me. I'm kind of trying to get myself together. ",gc,آره، این درست است. هیچکس آنجا نیست. هیچکس من را نمی بیند. من سعی می کنم خودم را جمع کنم.
163_90,T,"Yeah. Now the panic painful. Right, the you know, the panic symptoms are painful. So what you could tell yourself is, this isn't pleasant. But I can write out these symptoms because they only last so long. ",irq,بله، وحشت دردناک است. درست است، شما می دانید، علائم وحشت دردناک هستند. پس آنچه شما می توانید به خودتان بگویید این است که این لذت بخش نیست. اما من می توانم این علائم را بنویسم زیرا آنها فقط مدت زمان کوتاهی طول می کشد.
163_91,P,"Probabiy, I could use like self talk. ",id,احتمالاً، من می تونم از حرف زدن با خودم استفاده کنم.
163_92,T,"Exactly. Yeah, because usually mean peg symptoms can run you know, five minutes. 10 minutes, 15 minutes. But you have no time limit? ",gc,دقیقا. آره، چون معمولا علائم میانگین پگ می تونن پنج دقیقه، ده دقیقه، پانزده دقیقه طول بکشه. ولی شما هیچ محدودیت زمانی ندارید؟
163_93,P,"Yeah,",id,آره، آره
163_94,T,"yeah so if you can just kind of use that time to focus on the items, as you mentioned, you could get right. And kind of, at the same time be telling yourself I can ride this out.",gc,آره پس اگه بتوني از اون وقت استفاده کني تا روي چيزا تمرکز کني، همونطور که گفتي، ميتوني درستش کني. و در همين حالي به خودت بگي که مي تونم اينو تحمل کنم.
163_95,P,"Yeah, I mean, I've done that in the past, so I can apply it to this test. ",id,آره، منظورم اینه که من این کار رو در گذشته انجام دادم، پس می تونم ازش برای این تست استفاده کنم.
163_96,T,So if that's worked for you that ?,irq,پس اگه اين براي تو جواب داده باشه؟
163_97,P,"yes, that has worked and I passed. ",id,بله، کار کرده و من قبول شدم.
163_98,T,"So that's, that's certainly that's certainly one adaptive response to try writing. Another one could be that, although it wouldn't be great to fail, you can retake the test in a year. Right. You could try it. ",gc,پس این، این مطمئناً یکی از پاسخ های سازگاری برای نوشتن است. یکی دیگر می تواند این باشد که، اگرچه شکست خوردن عالی نخواهد بود، شما می توانید آزمون را در یک سال دوباره انجام دهید. درسته. شما می توانید آن را امتحان کنید.
163_99,P,"Yeah, that's true.",gc,آره، درسته.
163_100,T,"I mean, I know that's not what you want, but, but the alternative is kind of buying into that automatic thought we know that's not working. Right. The I'm I'm Destin, that was the word right like I'm destined to be a failure. We know that's not working for you. ",gc,من می دانم که این چیزی نیست که شما می خواهید، اما جایگزین آن، نوعی خریدن به آن فکر اتوماتیک است که ما می دانیم که کار نمی کند. درسته. من من تقدیر هستم، این کلمه درست بود، مثل اینکه من برای شکست محکوم هستم. ما می دانیم که برای شما کار نمی کند.
163_101,P,"So even if I have to take the test again and in a year, then I'm not going to be a failure because I still have the chance to take it again. It's not like I'll never be able to take this test again.",gc,بنابراین حتی اگر مجبور باشم دوباره امتحان را انجام دهم و یک سال دیگر، پس من شکست خورده نمی شوم، زیرا هنوز هم فرصتی برای انجام آن دارم. این مثل این نیست که هرگز نتوانم دوباره این امتحان را انجام دهم.
163_102,T,"Yeah, you just have, you just have another years of study, right? And, of course, you wouldn't have that promotion that time and that would be an outcome, I know you don't want. But it's not the end of your career, It's not like something so drastic it's important to you and I can appreciate that. But it's not the end of your career. You're not going to be unemployed.",gc,بله، شما فقط سال های دیگری از تحصیل را دارید، درسته؟ و البته، شما آن زمان ترفیع را نخواهید داشت و این نتیجه ای خواهد بود، من می دانم که شما نمی خواهید. اما این پایان حرفه شما نیست، این مثل چیزی نیست که برای شما مهم باشد و من می توانم از آن قدردانی کنم. اما این پایان حرفه شما نیست. شما بیکار نخواهید بود.
163_103,P,"No, no, definitely not. And just thinking back and relating it back to the third grade, even though I had to stay back. I still managed to, you know, do well the next year and keep moving up. And it hasn't really, in the long run prevented me from doing anything that I've wanted to do.",gc,نه، نه، قطعا نه. و فقط به گذشته فکر کردن و آن را به کلاس سوم مربوط کردن، حتی اگر مجبور بودم عقب بمونم. من هنوز موفق شدم، می دانید، سال بعد خوب کار کنم و به بالا رفتن ادامه دهم. و این واقعاً، در دراز مدت، من را از انجام هر کاری که می خواستم انجام دهم، جلوگیری نکرده است.
163_104,T,"So that's great. That's another adaptive response, which you've survived this before.",gc,این عالی است. این یک پاسخ سازگاری دیگر است که شما قبلا از آن جان سالم به در برده اید.
163_105,P,"Yes, I definitely have.",gc,بله، قطعا اینطور است.
163_106,T,"So this one event, I mean, I had the the incident third grade with the unpleasant experience but this one event you don't want that this kind of fashion. While use your word, your destiny by like this was one that seemed to catch you off guard but the the panic like symptoms. And fortunately your employer is going to give you the chance to retake and try this again. And, and I met you know, so you have I imagine you could you can write out these, these symptoms. And I think you have the other adaptive response, which is I've been successful this before.",gc,در این صورت، من یک حادثه در کلاس سوم با تجربه ناخوشایندی داشتم، اما این یک حادثه را نمی خواهید که این نوع مد باشد. در حالی که از کلمه خود استفاده کنید، سرنوشت شما با این گونه بود که به نظر می رسید شما را از نگهبان گرفته است، اما علائم مانند وحشت. و خوشبختانه کارفرمای شما به شما فرصت می دهد تا دوباره این کار را انجام دهید و دوباره امتحان کنید. و، و من با شما آشنا شدم، بنابراین شما می توانید این علائم را بنویسید.
163_107,P,"Yeah. I mean, definitely I feel a lot better now because I just know that no matter what happens, I've been here before, and I can get through it as opposed to like that feeling that I'm going to just fail together.",gc,آره، منظورم اینه که، قطعا الان احساس بهتری دارم چون میدونم که مهم نیست چه اتفاقی بیفته، من قبلا هم اینجا بودم، و میتونم ازش عبور کنم در مقابل اینکه دوست داشته باشم که فقط با هم شکست بخورم.
163_108,T,"Oh, it's so good, when you have to take the test?",irq,اوه، خیلی خوبه، وقتی که باید امتحان بدی؟
163_109,P,on next week.,id,هفته بعد.
163_110,T,So let's schedule one more appointment right before that.,gc,پس بیایید یک قرار ملاقات دیگر درست قبل از آن برنامه ریزی کنیم.
163_111,P,"Okay, right. ",gc,باشه، درسته.
163_112,T,"And we'll, we'll make sure that you have these adaptive responses down and you're ready to go. Okay. And really will kind of focus on the positive outcome. Right. Okay, which is just taking this test taking one item at a time and fighting through some of these physical symptoms you're having, and fighting through the useful thoughts.",gc,ما مطمئن خواهیم شد که این واکنش های انطباقی را از بین برده اید و آماده هستید. - خوب، و واقعا به نوع تمرکز بر نتیجه مثبت. - درست. - خوب، که فقط این تست را انجام می دهد، یک مورد در یک زمان و مبارزه با برخی از این علائم فیزیکی که شما دارید، و مبارزه با افکار مفید.
163_113,P,"Okay. Yeah, I mean, that sounds good. That helped me prepare for the test. ",gc,باشه، آره، منظورم اينه که خوب به نظر مياد اين به من کمک کرد که براي آزمايش آماده بشم
163_114,T,"Great. So, Michelle, I'll see you. I'll see you then and work through it. I really appreciate you coming in today.",gc,عالی، پس میشل، باهات میبینم، باهات میبینم و کار میکنم، واقعا از اینکه امروز اومدی قدردانی میکنم.
204_0,T,"Hi Miss Clark, My name is Alan Lime. I'm a social worker at the Family Health Center. Dr. Steele asked me if I would spend some time with you today. I'm really glad that you're here. I'm just curious as to why he would send you to me.",gt,سلام خانم کلارک، اسم من آلن لایم است. من یک کارگر اجتماعی در مرکز سلامت خانوادگی هستم. دکتر استیل از من پرسید که آیا امروز می توانم مدتی را با شما بگذرانم. من واقعا خوشحالم که شما اینجا هستید. من فقط کنجکاو هستم که چرا او شما را به من می فرستد.
204_1,P,"Well, I came to see Dr. Seal last week because of increasing stress and anxiety, that's kind of getting the best of me. And in the course of my appointment with him, he was asking how I was dealing with that stress. And I mentioned that my one or two glasses of wine a few nights a week is turning into more frequent and maybe three or four on some nights and he had some concerns about that and, and felt like maybe you could help me with stress or something.",gt,"""من هفته گذشته به دیدن دکتر سیل رفتم، به دلیل افزایش استرس و اضطراب، که به نوعی بهترین من را به دست می آورد.و در طول ملاقات من با او، او از من می پرسید که چگونه با این استرس مقابله می کنم.و من اشاره کردم که یک یا دو لیوان شراب من چند شب در هفته به مکرر تر و شاید سه یا چهار در برخی شب ها تبدیل می شود و او برخی از نگرانی ها در مورد آن داشت و احساس کرد که شاید شما می توانید به من در استرس کمک کنید."""""""
204_2,T,"Yeah. So he, he actually see me because you went to him for increased stress. And he's concerned that your alcohol consumption may be a part of that increase And prior to prescribing anything, you want to make sure that you at least had someone to talk to that",gc,او در واقع به من مراجعه کرد چون شما به دلیل افزایش استرس به او مراجعه کردید و نگران است که مصرف الکل شما ممکن است بخشی از این افزایش باشد و قبل از تجویز هر چیزی، شما می خواهید مطمئن شوید که حداقل کسی را برای صحبت کردن با آن دارید.
204_3,P,I suppose.,gc,فکر کنم.
204_4,T,Okay. So you filled in one of the Pink Sheets and I take a look at that.,irq,خب، تو یکی از ورق های صورتی را پر کردی و من به آن نگاهی انداختم.
204_5,P,He told me to fill that out and bring it with me.,id,اون بهم گفت که اينو پر کنم و با خودم بيارمش
204_6,T,"Okay, thank you. So, you say here that you have four or more drinks in one week, you mentioned that you may be increasing that a little bit as well. And that you have one or two drinks in one setting ",irq,خوب، ممنون. پس، شما اینجا می گویید که شما چهار یا بیشتر نوشیدنی در یک هفته دارید، شما اشاره کردید که ممکن است آن را کمی افزایش دهید. و اینکه شما یک یا دو نوشیدنی در یک تنظیم دارید
204_7,P,"typically, yeah. ",id,به طور معمول، آره.
204_8,T,And maybe monthly you have more than that. What what's what kind of drinks do you have? What do you do when you typically drink,irq,و شاید در هر ماه بیشتر از آن داشته باشید. چه نوع نوشیدنی هایی مصرف می کنید؟ وقتی که معمولا نوشیدنی می نوشید چه کاری انجام می دهید؟
204_9,P,"wine with my meals? You know, again, one or two, typically and more frequently, three or four. My stress is increased.",id,شراب با وعده های غذایی من؟ شما می دانید، دوباره، یک یا دو، به طور معمول و بیشتر به طور مکرر، سه یا چهار. استرس من افزایش یافته است.
204_10,T,"So it's time to increase your strength a little more. Well, based on what you put here, you get it gives you six points on this scale scale ranging from zero to 46 points will put you in what we would consider an at risk zone. So if it's okay with you to talk a little bit about that,",id,پس وقت آن است که قدرت خود را کمی بیشتر افزایش دهید.خب، بر اساس آنچه شما اینجا می گذارید، به شما شش امتیاز در این مقیاس می دهد.مقیاس از صفر تا 46 امتیاز شما را در آنچه ما به عنوان منطقه ای با خطر در نظر می گیریم قرار می دهد.پس اگر شما موافق هستید که کمی در مورد آن صحبت کنید،
204_11,P,okay,ack,باشه، باشه
204_12,T,"okay. So that was sunset run zero to 40. It's not a sort of super high risk, but it certainly could be a risk for maybe increasing stress might be some physical ailments related to alcohol as well could could start to show up if you were to increase your drinking from there, or even stay there. This is a typical standard drink size over here, I'm not sure whether that fits your description of a glass of wine or not,",irq,این یک نوع خطر فوق العاده بالا نیست، اما مطمئناً می تواند یک خطر برای افزایش استرس باشد، ممکن است برخی از بیماری های جسمی مربوط به الکل نیز ممکن است شروع به ظاهر شدن کنند اگر شما نوشیدن خود را از آنجا افزایش دهید، یا حتی در آنجا بمانید.
204_13,P,I feel the glass up so maybe a little more than that,id,من لیوان را بالا می کشم پس شاید کمی بیشتر از آن
